# CMUdict-derived US English IPA. Source: cmusphinx/cmudict (BSD-2-Clause,
# Copyright (C) 1993-2015 Carnegie Mellon University). See THIRD_PARTY_NOTICES.md.
# Format: word<TAB>ipa1;ipa2;...   Generated by tools/make_ipa_dict.py — do not edit by hand.
a	ə;ˈeɪ
aligns	əˈlaɪnz
alihan	ˈælɪˌhæn
alija	əˈlaɪdʒə
alija's	əˈlaɪdʒəz
alike	əˈlaɪk
alikes	əˈlaɪks
alima	ɑːˈliːmə
alimenies	ˈælɪˌmeniz
alimentary	ˌæləˈmentəri
alimony	ˈæləˌmoʊni
alina	əˈliːnə
aline	əˈlaɪn
alines	əˈlaɪnz
alioto	ɑːliˈoʊtoʊ
aliquippa	ˌæləˈkwɪpə
aliquippa's	ˌæləˈkwɪpəz
aliquippas	ˌæləˈkwɪpəz
alire	ɑːˈlɪreɪ
alirio	əˈlɪrioʊ
alisa	əˈliːsə
alisha	ɑːˈliːʃə
alisky	əˈlɪski
alislamiyya	ˌæləsləˈmiːə
alison	ˈælɪsən
alissa	əˈlɪsə
alistair	ˈælɪˌster
alister	ˈælɪstər
alita	ɑːˈliːtə
alitalia	ˌælɪˈteɪliə;ˌælɪˈtæliə
alitalia's	ˌælɪˈteɪliəz;ˌælɪˈtæliəz
alithia	əˈlɪθiə
alito	əˈliːtoʊ
alive	əˈlaɪv
alix	ˈælɪks
aliyah	əˈliːə
alizac	ˈælɪzæk
alka	ˈælkə
alkahest	ˈælkəˌhest
alkali	ˈælkəˌlaɪ
alkalies	ˈælkəˌlaɪz
alkaline	ˈælkəˌlaɪn
alkalinity	ˌælkəˈlɪnəti
alkaloid	ˈælkəˌlɔɪd
alkaloidal	ælkəˈlɔɪdəl
alkaloids	ˈælkəˌlɔɪdz
alkanes	ˈælˌkeɪnz
alkema	ˈælkɪmə
alkene	ˈælˌkiːn
alkenes	ˈælˌkiːnz
alkermes	ɑːlˈkɜːrmiz
alkire	əlˈkaɪr
all	ˈɔːl
all's	ˈɔːlz
all-out	ˌɔːˈlaʊt
all-purpose	ˌɔːlˈpɜːrpəs
all-star	ˌɔːlˈstɑːr
all-time	ˌɔːlˈtaɪm
alla	ˈɑːlə
allah	ˈɑːlə
allahabad	əˈlɑːhəˌbɑːd
allain	əˈleɪn
allaire	ɑːˈler
allais	əˈleɪ;ˈeɪliəs
allamuchy	ˌɑːləˈmuːtʃi
allan	ˈælən
allante	ˌæˈlɑːnteɪ
allar	əˈlɑːr
allard	ˈælərd
allardt	ˈælərt
allay	əˈleɪ
allayed	əˈleɪd
allaying	əˈleɪɪŋ
allays	əˈleɪz
allbaugh	əlˈbɔː
allbee	ˈɔːlˌbiː
allbright	ˈɔːlˌbraɪt
allbritten	ˈælbrɪtən
allbritton	ˈælbrɪtɑːn
allcock	ˈɔːlˌkɑːk
allcorn	əlˈkɔːrn
allday	ˈɔːlˌdeɪ
allderdice	ˈɑːldərˌdaɪs;ˈældərˌdaɪs
alldredge	əlˈdredʒ
allebach	ˈælɪbɑːk;ˈælbɑːk
alleco	ˌæˈlekoʊ
allee	əˈliː
allegation	ˌæləˈɡeɪʃən
allegations	ˌæləˈɡeɪʃənz
allege	əˈledʒ
alleged	əˈledʒd
allegedly	əˈledʒədli
alleges	əˈledʒəz;əˈledʒɪz
alleghany	ˈæləˌɡeɪni
alleghenies	ˌæləˈɡeɪniz;ˈæləˌɡeniz
allegheny	ˌæləˈɡeɪni;ˈæləˌɡeni
allegheny's	ˌæləˈɡeɪniz;ˈæləˌɡeniz
allegiance	əˈliːdʒəns
allegiances	ˌæˈliːdʒiˌænsɪz;əˈliːdʒənsɪz
alleging	əˈledʒɪŋ
allegis	ˌæˈleɪdʒɪs
allegis'	ˌæˈleɪdʒɪs
allegis's	ˌæˈleɪdʒɪsɪz
allegorical	ˌæləˈɡɔːrəkəl
allegories	ˈæləˌɡɔːriz
allegory	ˈæləˌɡɔːri
allegra	ɑːˈleɡrə
allegretti	ɑːleˈɡreti
allegro	əˈleˌɡroʊ
allele	əˈleli
alleles	əˈleliz
allelic	əˈlelɪk
alleluia	ˌæleˈluːjɑː
alleluja	ˌæleˈluːjɑː
alleman	ˈeɪlmən
allemand	ˈælɪmənd
allen	ˈælən
allen's	ˈælənz
allenbaugh	əˈlenbɔː
allenby	ˈælənbi
allenby's	ˈælənbiz
allendale	ˈælənˌdeɪl
allende	ˌɑːˈjendeɪ
allender	ɑːˈljendeɪər;ɑːˈlendər
allendorf	ˈælɪndɔːrf
allene	ˈæˌliːn
allenhurst	ˈælənˌhɜːrst
allens	ˈælənz
allensbach	ˈælənzˌbɑːk
allensworth	ˈælənzwərθ
allenton	ˈæləntən
allentown	ˈælənˌtaʊn
allenwood	ˈælənˌwʊd
aller	ˈɔːlər
allergan	ˈælərdʒən
allergen	ˈælərdʒən
allergenic	ˈælərdʒənɪk
allergens	ˈælərdʒənz
allergic	əˈlɜːrdʒɪk
allergies	ˈælərdʒiz
allergist	ˈælərdʒəst
allergist's	ˈælərdʒəsts
allergists	ˈælərdʒəsts
allergy	ˈælərdʒi
allers	ˈɔːlərz
allert	ˈælərt
allerton	ˈælərtən
alles	ˈeɪlz
alleva	ɑːˈleɪvə
alleviate	əˈliːviˌeɪt
alleviated	əˈliːviˌeɪtɪd
alleviates	əˈliːvieɪts
alleviating	əˈliːviˌeɪtɪŋ
alleviation	əˌliːviˈeɪʃən
alley	ˈæli
alley's	ˈæliz
alleyne	ˈæˌleɪn
alleyoop	æliˈuːp
alleys	ˈæliz
alleyway	ˈæliˌweɪ
alleyways	ˈæliˌweɪz
allgaier	ˈælɡaɪər
allgeier	ˈælɡaɪər
allgemeine	ˈɔːlɡəˌmaɪn
allgemeines	ˈɔːlɡəˌmaɪnz
allgeyer	ˈælɡiər
allgood	ˈɔːlˌɡʊd
alli	ˈæli
alliance	əˈlaɪəns
alliance's	əˈlaɪənsɪz
alliances	əˈlaɪənsəz;əˈlaɪənsɪz
alliant	əˈlaɪənt
alliant's	əˈlaɪənts
allianz	ˈæliənz
allianz's	ˈæliənzɪz
allick	ˈælɪk
allie	ˈæli
allied	əˈlaɪd;ˈæˌlaɪd
allied's	ˈæˌlaɪdz
alliedsignal	ˌæˌlaɪdˈsɪɡnəl
alliedsignal's	ˌæˌlaɪdˈsɪɡnəlz
allies	ˈælaɪz;əˈlaɪz
allies'	ˈælaɪz
alligator	ˈæləˌɡeɪtər
alligators	ˈæləˌɡeɪtərz
alligood	ˈælɪˌɡʊd
allin	əˈlɪn
allinder	ˈælɪndər
alling	ˈɔːlɪŋ
allinger	ˈɔːlɪŋər
allingham	ˈɔːlɪŋˌhæm
allington	ˈɔːlɪŋtən
allinson	ˈælɪnsən
allis	ˈælɪs
allison	ˈæləsən;ˈælɪsən
allison's	ˈælɪsənz
allister	ˈɔːlɪstər;ˈælɪstər
alliston	ˈælɪstɑːn
alliteration	əˈlɪtərˌeɪʃən
alliterative	əˈlɪtərətɪv;əˈlɪtərˌeɪtɪv
allman	ˈɔːlmən
allmendinger	ˈælmendɪŋər
allmon	ˈɔːlmən
allmond	əlˈmɑːnd
allnet	ˈɔːlˌnet
allnutt	əlˈnʌt
allocate	ˈæləˌkeɪt
allocated	ˈæləˌkeɪtɪd
allocates	ˈæləˌkeɪts
allocating	ˈæləˌkeɪtɪŋ
allocation	ˌæləˈkeɪʃən
allocations	ˌæləˈkeɪʃənz
allocator	ˈæləˌkeɪtər
allocators	ˈæləˌkeɪtərz
allocca	ˌæˈlɑːkə
allocco	ˌæˈlɑːkoʊ
allograph	ˈæləˌɡræf
allographs	ˈæləˌɡræfs
allomorph	ˈæləmɔːrf
allomorphs	ˈæləmɔːrfs
allophone	ˈæləˌfoʊn
allophones	ˈæləˌfoʊnz
allophonic	ˌæləˈfɑːnɪk
allor	ˈɔːlər
allot	əˈlɑːt
alloted	əˈlɑːtɪd
allotment	əˈlɑːtmənt
allotments	əˈlɑːtmənts
allotrope	ˈæləˌtroʊp
allotropes	ˈæləˌtroʊps
allots	əˈlɑːts
allotted	əˈlɑːtɪd
allotting	əˈlɑːtɪŋ
allow	əˈlaʊ
allowable	əˈlaʊəbəl
allowance	əˈlaʊəns
allowances	əˈlaʊənsɪz
alloway	ˈæloʊˌweɪ
allowed	əˈlaʊd
allowing	əˈlaʊɪŋ
allows	əˈlaʊz
alloy	ˈæˌlɔɪ
alloys	ˈæˌlɔɪz
allphin	əlˈfɪn
allport	ˈɔːlˌpɔːrt
allred	ˈælrɪd
allright	ɑːlˈraɪt
alls	ˈɔːlz
allsbrook	ˈɔːlzˌbrʊk;ˈɔːltsˌbrʊk
allset	ɔːlˈset
allshouse	ˈɔːlzˌhaʊs;ˈɔːltsˌhaʊs
allsop	ˈɔːlˌsɑːp
allsopp	ˈɔːlˌsɑːp
allspice	ˈɔːlˌspaɪs
allstate	ˈɔːlˌsteɪt
allstate's	ˈɔːlˌsteɪts
allston	ˈɔːlstən
allsup	ˈælsəp
alltel	ˈɔːlˌtel
alltime	ˈɔːlˌtaɪm
allton	ˈɔːltən
alltop	ˈɔːlˌtɑːp
allude	əˈluːd
alluded	əˈluːdɪd
alludes	əˈluːdz
alluding	əˈluːdɪŋ
allum	ˈæləm
allums	ˈæləmz
allure	əˈlʊr
allured	əˈlʊrd
alluring	əˈlʊrɪŋ
allusion	əˈluːʒən
allusions	əˈluːʒənz
allusive	əˈluːsɪv
alluvial	ˌæˈluːviəl
alluvium	ˌæˈluːviəm
allwaste	ˈɔːlˌweɪst
allweiss	ˈɑːlˌwiːs
allweiss's	ˈɑːlˌwiːsɪz
ally	ˈælaɪ;əˈlaɪ
ally's	əˈlaɪz
allying	ˈælaɪɪŋ;əˈlaɪɪŋ
allyn	ˈælɪn
allys	ˈælaɪz
allyson	ˈælɪsən
alm	ˈɑːlm
alma	ˈɑːlmə
almada	ɑːlˈmɑːdə
almadani	ˌɑːlməˈdɑːni
almaden	ˈɑːlməˌden
almaguer	ɑːlmɑːˈɡwer
almal	ˈɑːlməl
alman	ˈælmən
almanac	ˈɑːlməˌnæk
almand	ˈælmənd
almanza	ɑːlˈmɑːnzə
almanzar	ɑːlmɑːnˈzɑːr
almaraz	ɑːlˈmɑːrɑːz
almas	ˈælməz
almasy	ˈælməsi
almaty	ˌɑːˈmɑːˌtiː
almay	ˈɑːlmeɪ
almazan	ɑːlmɑːˈzɑːn
almeda	ɑːlˈmeɪdə
almeida	ɑːlˈmiːdə
almelund	ɑːlməˈlʌnd
almendarez	ɑːlmeɪnˈdɑːrez
almer	ˈɔːlmər
almeria	ɑːlˈmɜːriə
almgren	ˈælmɡren
almighty	ɔːlˈmaɪti
almira	ɑːlˈmɪrə
almo	ˈɑːlmoʊ
almodovar	ˌɑːlmoʊdoʊˈvɑːr
almon	ˈɑːlmən
almond	ˈɑːmənd
almonds	ˈɑːlməndz
almoner	ˈɑːlmənər
almonte	ɑːlˈmoʊnteɪ
almos	ˈɑːlmoʊs
almost	ˈɔːlˌmoʊst
almquist	ˈælmkwɪst
alms	ˈɑːlmz;ˈɑːmz
almy	ˈɔːmi
almys	ˈælmiz
alodie	əˈlɑːdi
aloe	ˈæˌloʊ
aloft	əˈlɔːft
aloha	əˈloʊhɑː
aloi	ˈɑːlɔɪ
aloia	ɑːˈloʊjə
alois	ɑːˈlɔɪs
aloisa	ɑːˈlɔɪsə
aloisi	ɑːˈlɔɪsi
aloisia	ɑːˈlɔɪsiə
aloisio	ɑːˈlɔɪsioʊ
aloka	əˈloʊkə
alomar	ˈæləˌmɑːr
alon	əˈlɑːn
alone	əˈloʊn
along	əˈlɔːŋ
alonge	ˈæləndʒ
alongi	ɑːˈloʊŋɡi
alongs	əˈlɔːŋz
alongside	əˌlɔːŋˈsaɪd
aloni	əˈloʊni
alonso	əˈlɑːnsoʊ
alonza	əˈlɑːnzə
alonzo	əˈlɑːnzoʊ
aloof	əˈluːf
aloofness	əˈluːfnəs
alot	əˈlɑːt
aloud	əˈlaʊd
aloys	əˈlɔɪz
aloyse	əˈlɔɪs
aloysia	ɑːˈlɔɪsiə
aloysius	ˌæloʊˈɪʃɪs
alpa	ˈælpə
alpaca	ælˈpækə
alpaugh	əlˈpɔː
alper	ˈælpər
alperin	ˈælpərˌɪn
alpern	əlˈpɜːrn
alpers	ˈælpərz
alpert	ˈælpərt
alpex	ˈælpeks
alpha	ˈælfə
alpha's	ˈælfəz
alphabet	ˈælfəˌbet
alphabetic	ˌælfəˈbetɪk
alphabetical	ˌælfəˈbetɪkəl
alphabetically	ˌælfəˈbetɪkli
alphabetization	ˌælfəˌbetəˈzeɪʃən
alphabetize	ˈælfəbəˌtaɪz
alphabetized	ˈælfəbəˌtaɪzd
alphabetizes	ˈælfəbəˌtaɪzɪz
alphabetizing	ˈælfəbəˌtaɪzɪŋ
alphagraphics	ælfəˈɡræfɪks
alphametric	ˈælfəˌmetrɪk
alphametrics	ˈælfəˌmetrɪks
alphandery	ˌælˈfædəri
alphanumeric	ˌælfənuˈmerɪk
alphaphotographic	ˌælfəˌfoʊtəˈɡræfɪk
alpharel	ˈælfərˌel
alpharetta	ˌælfərˈetə
alphin	ˈælfɪn
alphonse	ælˈfɑːnz
alphonsine	əlˈfɑːnsin
alphonso	ælˈfɑːnsoʊ
alpin	əlˈpɪn
alpine	ˈælˌpaɪn
alpirez	ˈælpɪrez
alpo	ˈælpoʊ
alps	ˈælps
alquist	ˈælkwɪst
alread	ˈɑːlrid
already	ɔːlˈredi;ɔːˈredi
alred	ˈɔːlrɪd
alright	ˌɔːlˈraɪt
alrighty	ˌɔːlˈraɪti
alrosa	ɑːlˈroʊsə;ɑːlˈroʊzə
alroy	əlˈrɔɪ
als	ˈælz
alsace	ælˈsɑːs;ælˈsæs
alsatian	ælˈseɪʃən
alsbrook	ˈælzbrʊk
alsbrook's	ˈælzbrʊks
alsbrooks	ˈælzbrʊks
alsbrooks'	ˈælzbrʊks
alsbury	ˈɔːlzberi;ˈælzberi
alsdorf	ˈɔːlzdɔːrf;ˈælzdɔːrf
alsgaard	ˈɑːlzɡɑːrd
alshelhah	ɑːlˈʃelhə
alsip	ˈælsɪp
also	ˈɔːlsoʊ
alsobrook	ˈælsəbrʊk
alsobrooks	ˈælsəbrʊks
alsop	ˈælsɑːp
alspach	ˈælspək
alspaugh	əlˈspɔː
alsthom	ˈælsθəm
alston	ˈɔːlstən
alsup	ˈælsəp
alt	ˈɑːlt
alta	ˈɑːltə
altadena	ˌɑːltəˈdiːnə
altai	ælˈtaɪ
altaic	ælˈteɪɪk
altair	ɑːlˈter
altamira	ˌɑːltɑːˈmɪrə
altamirano	ˌɑːltɑːmɪˈrɑːnoʊ
altamont	ˈɑːltəˌmɔːnt
altamuro	ˌɔːltəˈmʊroʊ
altar	ˈɔːltər
altarpiece	ˈɔːltərˌpiːs
altars	ˈɔːltərz
altavista	ˌɔːltəˈvɪstə
altay	ˈɔːltaɪ
altemose	ˈæltɪmoʊs
altemus	ˈæltɪmɪs
altenburg	ˈɔːltənbərɡ
altenhofen	ˈæltɪnhəfən
alteon	ˈɑːltiɔːn
alter	ˈɔːltər
altera	ˌɔːlˈterə
alteration	ˌɔːltərˈeɪʃən
alterations	ˌɔːltərˈeɪʃənz
altercation	ˌɑːltərˈkeɪʃən
altercations	ˌɑːltərˈkeɪʃənz
altered	ˈɔːltərd
altergott	ˈæltərɡət
altering	ˈɔːltərɪŋ
alterman	ˈɔːltərmən
alternacare	ɔːlˈtɜːrnəˌker
alternate	ˈɔːltərnət;ˈɔːltərˌneɪt
alternated	ˈɔːltərˌneɪtɪd
alternately	ˈɔːltərnətli
alternates	ˈɔːltərˌneɪts
alternating	ˈɔːltərˌneɪtɪŋ
alternation	ˈɔːltərˌneɪʃən
alternative	ɔːlˈtɜːrnətɪv
alternatively	ɔːlˈtɜːrnətɪvli
alternatives	ɔːlˈtɜːrnətɪvz
alternator	ˈɔːltərˌneɪtər
alters	ˈɔːltərz
altfest	ˈɑːltˌfest
althaus	ˈælthaʊs
althaver	ˌælˈθeɪvər
althea	ælˈθiːə
altherr	ˈɑːlθər
althoff	ˈælthɔːf
althorp	ˈælθɔːrp;ˈɑːlθɔːrp
although	ˌɔːlˈðoʊ
althouse	ˈɔːltˌhaʊs
altice	ˈɑːltɪs
altier	ˈɔːltiər
altieri	ɑːlˈtɪri
altima	ˈɑːlˌtɪmə
altima's	ˈɑːlˌtɪməz
altimeter	ælˈtɪmətər
altimeters	ælˈtɪmətərz
altimetry	ælˈtɪmətri
altimorano	ˌɑːlˌtiːˌmɔːˈrɑːnoʊ
altiplano	ˌæltəˈplɑːˌnoʊ
altitude	ˈæltəˌtuːd
altitudes	ˈæltɪˌtuːdz
altizer	ˈæltaɪzər
altland	ˈæltlənd
altman	ˈɔːltmən
altman's	ˈɔːltmənz
altmann	ˈɔːltmən
altmeyer	ˈæltmaɪər;ˈɑːltmaɪər
alto	ˈæltoʊ
altobelli	ɑːltoʊˈbeli
altogether	ˌɔːltəˈɡeðər
altoid	ˈɑːltɔɪd
altom	əlˈtɑːm
altomare	ɑːltoʊˈmɑːri
alton	ˈɔːltən
altoona	ˌælˈtuːnə
altos	ˈæltoʊz;ˈɔːlˌtoʊs
altra	ˈɑːltrə
altron	ˈɔːltrɑːn
altruism	ˈæltruˌɪzəm
altruistic	ˌɔːltruˈɪstɪk
altschiller	ˈɔːltʃɪlər
altschul	ˈæltʃəl
altschuler	ˈæltʃjulər;ˈæltʃulər
altshuler	ˈæltʃjulər;ˈæltʃulər
altucher	ælˈtʌkər
alturas	ɑːlˈtʊrəs
altus	ˈæltəs
altvater	ˈæltvətər
altzheimer	ˈɑːltsˌhaɪmər
altzheimer's	ˈɑːltsˌhaɪmərz
alu	ˈɑːlu
alum	ˈæləm;əˈlʌm
alumax	ˈælumæks
alumbaugh	əˈlʌmbɔː
alumina	əˈluːmənə
aluminio	ˌæluˈmiːnioʊ
aluminium	əˈluːmɪnəm;ˌæˈljuːmɪnəm
aluminize	əˈluːməˌnaɪz
aluminized	əˈluːməˌnaɪzd
aluminosilicate	əˌluːmənoʊˈsɪləˌkeɪt
aluminum	əˈluːmənəm
aluminum's	əˈluːmənəmz
alumna	əˈlʌmnə
alumnae	əˈlʌmˌneɪ
alumni	əˈlʌmˌnaɪ
alumnus	əˈlʌmnəs
alums	ˈæləmz
alun	ˈeɪlən
alura	ɑːˈlʊrə
alusuisse	ˌæljuˈswɪs
alva	ˈælvə
alvah	ælˈvɑː
alvan	ˈælvən
alvarado	ˌælvərˈɑːdoʊ
alvardo	ɑːlˈvɑːrdoʊ
alvare	ˌælˈveɪr;ˌælˈvɑːr
alvarenga	ɑːlvɑːˈreŋɡə
alvares	ɑːlˈvɑːres
alvarez	ˈælvərˌez
alvarez's	ˈælvərˌezɪz
alvaro	əlˈvɑːroʊ
alvear	ɑːlˈvɪr
alveolar	ælˈviːələr
alveoli	ælˈviːəˌlaɪ
alverez	ɑːlˈverez
alvero	ælˈveroʊ
alverson	ˈɑːlvərsən
alverton	ˈɑːlvərtən
alves	ˈɑːlves
alvey	ˈælvi
alvidrez	ɑːlˈviːdrez
alvin	ˈælvɪn
alvina	ælˈvaɪnə
alvino	ɑːlˈviːnoʊ
alvis	ˈɑːlvɪs
alvita	ɑːlˈviːtə
alvite	ˈælˌvaɪt
alvord	ælˈvɔːrd
alwaleed	ˌælwəˈliːd;ˌɑːlwɑːˈliːd
alward	ælˈwɜːrd
always	ˈɔːlˌweɪz;ˈɔːlwiz
alwin	ˈælwɪn
alwine	ˈælˌwaɪn
alwood	ˈælwʊd
alwyn	ˈælwɪn
aly	ˈeɪli
alyce	ˈælɪs
alyea	æˈliːə
alyeska	æliˈeskə
alyeska's	ˌæˈljeskəz
alys	ˈæliz
alysheba	ˌælɪˈʃiːbə
alysia	əˈlɪsiə
alyssa	əˈlɪsə
alza	ˈælzə
alza's	ˈælzəz
alzado	ɑːlˈzædoʊ;ɑːlˈzɑːdoʊ
alzena	ɑːlˈzenə
alzene	ɑːlˈziːn
alzheimer	ˈælzˌhaɪmər;ˈɑːltsˌhaɪmər
alzheimer's	ˈælzˌhaɪmərz;ˈɑːtszˌhaɪmərz
alzona	ˌælˈzoʊnə
am	ˈæm;ˌeɪˈem
am's	ˈæmz;ˌeɪˈemz
ama	ˌeɪˌeˈmeɪ
amabel	ˈæməˌbel
amabelle	ˈæməbəl
amabile	ɑːˈmɑːbəl
amacher	ˈæməkər
amacker	ˈæməkər
amadea	ɑːˈmɑːdiə
amadeo	ɑːˈmɑːdioʊ
amadeus	ˌæməˈdeɪəs
amado	ɑːˈmɑːdoʊ
amadon	ɑːmɑːˈdɔːn
amador	ˈæməˌdɔːr
amadou	ˈæməˌduː
amagansett	əˈmæɡənˌset
amaker	ˈæmeɪkər
amakudari	ˌæməkjuˈdɑːri
amal	əˈmɑːl
amal's	əˈmɑːlz
amalea	ˌæməˈliːə
amalfitano	ɑːmɑːlfiˈtɑːnoʊ
amalgam	əˈmælɡəm
amalgamate	əˈmælɡəˌmeɪt
amalgamated	əˈmælɡəˌmeɪtɪd
amalgamated's	əˈmælɡəˌmeɪtɪdz
amalgamates	əˈmælɡəˌmeɪts
amalgamating	əˈmælɡəˌmeɪtɪŋ
amalgamation	əˌmælɡəˈmeɪʃən
amalgams	əˈmælɡəmz
amalia	əˈmɑːljə
amalie	ˈæməli
amalya	əˈmɑːljə
aman	ˈɑːmən
amana	əˈmænə
amanda	əˈmændə
amanda's	əˈmændəz
amandas	əˈmændəz
amandime	ˈæmənˌdaɪm
amann	ˈæmən
amano	əˈmɑːnoʊ
amanpour	ˌɑːˌmɑːnˈpʊr
amanpour's	ˌɑːˌmɑːnˈpʊrz
amante	ɑːˈmɑːnti
amar	əˈmɑːr
amar's	əˈmɑːrz
amara	ɑːˈmɑːrə
amaral	ɑːmɑːˈræl
amarante	ɑːmɑːˈrɑːnti
amaranth	ˈæmərˌænθ
amaretto	æməˈretoʊ
amargosa	əmɑːrˈɡoʊsə
amari	ɑːˈmɑːri
amarilla	ˌæmərˈɪlə
amarillo	ˌæmərˈɪloʊ
amarillo's	ˌæmərˈɪloʊz
amarillos	ˌæmərˈɪloʊz
amarin	ˈæmərɪn
amaris	ˈæmərɪs
amaro	ɑːˈmɑːroʊ
amaryllis	ˌæmərˈɪləs;ˌæmərˈɪlɪs
amaryllises	ˌæmərˈɪləsəz
amasa	ˈæməsə
amason	ˈæməsən
amass	əˈmæs
amassed	əˈmæst
amasses	əˈmæsɪz
amassing	əˈmæsɪŋ
amateur	ˈæməˌtɜːr;ˈæməˌtʃɜːr
amateurish	ˈæməˌtʃɜːrɪʃ
amateurism	ˈæməˌtʃɜːrɪzəm
amateurs	ˈæməˌtɜːrz;ˈæməˌtʃɜːrz
amati	əˈmɑːti
amatil	ˈæmətɪl
amato	ɑːˈmɑːˌtoʊ
amato's	ɑːˈmɑːˌtoʊz
amauligak	əˈmaʊlɪɡæk
amax	ˈeɪˌmæks
amax's	ˈeɪˌmæksɪz
amaya	ɑːˈmɑːjə
amaze	əˈmeɪz
amazed	əˈmeɪzd
amazement	əˈmeɪzmənt
amazes	əˈmeɪzɪz
amazing	əˈmeɪzɪŋ
amazingly	əˈmeɪzɪŋli
amazon	ˈæməˌzɑːn
amazon's	ˈæməˌzɑːnz
amazonia	ˌæməˈzoʊniə
amazonian	ˌæməˈzoʊniən
amazonians	ˌæməˈzoʊniənz
amazons	ˈæməˌzɑːnz
ambac	ˈæmbæk
ambase	ˈæmˌbeɪs
ambassador	æmˈbæsədər
ambassador's	æmˈbæsədərz
ambassadorial	æmˌbæsəˈdɔːriəl
ambassadors	æmˈbæsədərz
ambassadorship	æmˈbæsədərˌʃɪp
ambassadorships	æmˈbæsədərˌʃɪps
ambassadress	æmˈbæsədrəs
amber	ˈæmbər
amber's	ˈæmbərz
amberg	ˈæmbərɡ
amberger	ˈæmbərɡər
ambergris	ˈæmbərɡrɪs
ambers	ˈæmbərz
amberson	ˈæmbərsən
ambery	ˈæmbəri
ambiance	ˈæmbiəns
ambidextrous	ˌæmbəˈdekstrəs;ˌæmbɪˈdekstrəs
ambien	ˈæmbiˌen
ambience	ˈæmbiəns
ambient	ˈæmbiənt
ambiguities	æmbəˈɡjuːətiz
ambiguity	ˌæmbɪˈɡjuːəti
ambiguous	æmˈbɪɡjuəs
ambisone	ˈæmbəˌsoʊn
ambition	æmˈbɪʃən
ambitions	æmˈbɪʃənz
ambitious	æmˈbɪʃəs
ambitiously	æmˈbɪʃəsli
ambivalence	æmˈbɪvələns
ambivalent	æmˈbɪvələnt
amble	ˈæmbəl
ambled	ˈæmbəld
ambler	ˈæmblər
ambles	ˈæmbəlz
amblin	ˈæmblɪn
ambling	ˈæmbəlɪŋ;ˈæmblɪŋ
amborn	əmˈbɔːrn
amboy	ˈæmbɔɪ
ambra	ˈæmbrə
ambriano	ˌæmbriˈɑːnoʊ
ambrit	ˈæmbrɪt
ambriz	ˈæmbrɪz
ambrogio	ˌæmˈbroʊdʒioʊ
ambrose	ˈæmˌbroʊz
ambrosia	æmˈbroʊʒə
ambrosial	æmˈbroʊʒəl
ambrosian	æmˈbroʊzən
ambrosiano	æmˌbroʊsiˈɑːnoʊ
ambrosine	ɑːmbroʊˈsiːni
ambrosini	ɑːmbroʊˈsiːni
ambrosino	ɑːmbroʊˈsiːnoʊ
ambrosio	ˌæmˈbroʊsioʊ
ambrosius	ˈæmbrəsiɪs
ambs	ˈæmz
ambuehl	ˈæmbʊl
ambulance	ˈæmbjələns
ambulances	ˈæmbjələnsəz;ˈæmbjələnsɪz
ambulate	ˈæmbjəˌleɪt
ambulator	ˈæmbjəˌleɪtər
ambulatory	ˈæmbjələˌtɔːri
amburgey	ˈæmbərɡi
amburn	əmˈbɜːrn
ambush	ˈæmˌbʊʃ
ambushed	ˈæmˌbʊʃt
ambushes	ˈæmbʊʃɪz
ambushing	ˈæmˌbʊʃɪŋ
amc	ˌeɪˌemˈsiː
amca	ˈæmkə
amcast	ˈæmˌkæst
amcole	ˈæmˌkoʊl
amcor	ˈæmˌkɔːr
amcore	ˈæmˌkɔːr
amd	ˌeɪˌemˈdiː
amdahl	ˈæmˌdɑːl
amdahl's	ˈæmˌdɑːlz
amdec	ˈæmˌdek
amdek	ˈæmdek
amdur	ˈæmdər
amdura	æmˈdʊrə
ame	ˈeɪm
ameche	əˈmiːtʃi
amedco	əˈmedkoʊ
amedee	ˈæmɪdi
ameen	əˈmiːn
amelia	əˈmiːljə
amelie	ˌɑːmeˈliː
amelinda	ˌɑːmeˈliːndə
ameline	ˌɑːmeˈliːni
amelio	əˈmiːlioʊ
ameliorate	əˈmiːljərˌeɪt
ameliorated	əˈmiːljərˌeɪtɪd
amelioration	əˌmiːljərˈeɪʃən
amelita	ɑːmeˈliːtə
amell	ɑːˈmeɪl
amen	eɪˈmen;ɑːˈmen
amenable	əˈmenəbəl;əˈmiːnəbəl
amenaces	əˈmenəsəz
amend	əˈmend
amendable	əˈmendəbəl
amended	əˈmendɪd
amending	əˈmendɪŋ
amendment	əˈmendmənt
amendment's	əˈmendmənts
amendments	əˈmendmənts
amendola	ɑːmenˈdoʊlə
amends	əˈmendz
amenities	əˈmenətiz;əˈmenɪtiz
amenity	əˈmenəti
ament	ˈæmɪnt
amenta	əˈmentə
amer	ˈeɪmər
amerada	ˌæmeˈrɑːdə;ˌæmərˈɑːdə
amerco	əˈmerkoʊ
amerford	ˈeɪmərfərd
ameri	əˈmeri
ameribanc	əˈmerɪˌbæŋk
america	əˈmerəkə;əˈmerɪkə
america's	əˈmerəkəz;əˈmerɪkəz
american	əˈmerəkən;əˈmerɪkən
american's	əˈmerɪkənz
americana	əˌmerəˈkænə
americana's	əˌmerəˈkænəz
americanas	əˌmerəˈkænəz
